External ID;Creation Date;Display Name;Order Lines/Product/Internal Reference;Order Lines/Description;Order Lines/Quantity;Order Lines/Margin;Order Lines/Unit Price;Salesperson/Display Name;Payment Status;Delivery Status
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_53606_4729ed9a;44375,54233;SO-INS-145208;AMP-S052;[AMP-S052] CyberMetal;1;355,701;790;InSales;Fully Paid;Fully Shipped
;;;AMP-S016;[AMP-S016] Микроник;1;525,686;990;;;
;;;AMP-S042;[AMP-S042] Робожук;1;1420,639;2790;;;
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53604_871449a6;44375,5265;SO-INS-145207;AMP-S010;[AMP-S010] Матрёшка Z;1;1984,128;5240;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53603_bec4426a;44375,51556;SO-INS-145206;AMP-E030;[AMP-E030] Raspberry Pi 3 Model A+;1;558,447;3190;InSales;Fully Paid;Fully Shipped
;;;DEV-12646;[DEV-12646] Teensy 3.2;1;862,752;2640;;;
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_53602_e16cc334;44375,51188;SO-INS-145205;AMP-S010-BI;[AMP-S010-BI] Матрёшка Z (Iskra Uno);1;1622,012;3990;InSales;Fully Paid;Fully Shipped
;;;DLV-AX;Доставка курьером по Москве;1;250;250;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по Москве (Axilog);1;0;0;;;
__export__.sale_order_53601_ab967eda;44375,47448;SO-INS-145204;AMP-X350;[AMP-X350] Мультивалютный монетоприёмник YR-616;5;2737,153;1940;InSales;Fully Paid;Fully Shipped
;;;DLV-OFFICE;Самовывоз из магазина;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
;;;DLV-OFFICE;Самовывоз из офиса;1;0;0;;;
__export__.sale_order_53600_bf97c917;44375,44927;SO-INS-145203;AMP-X272;[AMP-X272] Соленоид TAU-0520;1;307,628;540;InSales;Fully Paid;Fully Shipped
;;;DLV-PP;Доставка в пункт самовывоза;1;290;290;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
;;;DLV-PP;Доставка в пункт самовывоза;1;0;0;;;
__export__.sale_order_53598_58d1e3fb;44375,41218;SO-INS-145202;AMP-X002;[AMP-X002] Breadboard;1;257,109;390;InSales;Fully Paid;Fully Shipped
;;;AMP-E038-RU;[AMP-E038-RU] Raspberry Pi 400 (RU);1;2816,129;11240;;;
;;;AMP-B174;[AMP-B174] Адаптер Raspberry Pi Breakout;1;222,324;530;;;
;;;USB3100-2-K;[USB3100-2-K] Блок питания Ginzzu GA-3311UB 2×USB / 5 В / 3100 мА;1;383,021;740;;;
;;;AMP-X145;[AMP-X145] Герметичный датчик температуры DS18B20;1;121,266;240;;;
;;;AMP-W030;[AMP-W030] Кабель 1m orange (HDMI-microHDMI);1;276,57;440;;;
;;;AMP-W001;[AMP-W001] Трёхпроводной шлейф «мама-мама»;1;39,999;60;;;
;;;AMP-W022;[AMP-W022] Трёхпроводной шлейф «мама-папа»;1;25,719;60;;;
;;;AMP-X049;[AMP-X049] Тумблер KN3(A)-102AA-C2;1;99,858;190;;;
;;;DLV-AX;Доставка курьером по Питеру;1;350;350;;;
;;;DLV-AX;Доставка курьером по СПб (Axilog);1;0;0;;;
;;;DLV-AX;Доставка курьером по СПб (Axilog);1;0;0;;;
